,published,source,link,title
0,"Fri, 15 Apr 2022 07:00:00 GMT","{'href': 'https://www.techopedia.com', 'title': 'Techopedia'}",https://www.techopedia.com/web-security-testing-101/2/34753,Web Security Testing 101 - Techopedia
1,"Tue, 26 Apr 2022 23:33:59 GMT","{'href': 'https://www.eisneramper.com', 'title': 'EisnerAmper'}",https://www.eisneramper.com/software-development-web-security/,Custom Web Apps Secure Website Development and Software Security Assessments - EisnerAmper
2,"Thu, 28 Apr 2022 09:51:06 GMT","{'href': 'https://www.information-age.com', 'title': 'Information Age'}",https://www.information-age.com/how-to-choose-cyber-security-solution-for-your-small-business-123499266/,How to choose a cyber security solution for your small business - Information Age
3,"Fri, 01 Apr 2022 07:00:00 GMT","{'href': 'https://arstechnica.com', 'title': 'Ars Technica'}",https://arstechnica.com/information-technology/2022/04/explaining-spring4shell-the-internet-security-disaster-that-wasnt/,Explaining Spring4Shell: The Internet security disaster that wasn't - Ars Technica
4,"Mon, 25 Apr 2022 11:19:08 GMT","{'href': 'https://www.wsls.com', 'title': 'WSLS 10'}",https://www.wsls.com/news/local/2022/04/25/high-school-students-learning-cyber-security-training-through-paid-internship-with-vmi/,High School students learning cyber security training through paid internship with VMI - WSLS 10
5,"Wed, 06 Apr 2022 07:00:00 GMT","{'href': 'https://www.gmfus.org', 'title': 'German Marshall Fund'}",https://www.gmfus.org/news/natos-role-global-cyber-security,NATO's Role in Global Cyber Security | Strengthening Transatlantic Cooperation - German Marshall Fund
6,"Sun, 17 Apr 2022 07:00:00 GMT","{'href': 'https://www.enterprisesecuritymag.com', 'title': 'Enterprise Security'}",https://www.enterprisesecuritymag.com/news/musthave-features-of-web-security-tools-nid-2936-cid-75.html,Must-Have Features Of Web Security Tools - Enterprise Security
7,"Fri, 29 Apr 2022 09:49:00 GMT","{'href': 'https://www.zdnet.com', 'title': 'ZDNet'}",https://www.zdnet.com/article/vulnerable-plugins-default-configurations-plague-the-website-security-landscape/,Vulnerable plugins plague the CMS website security landscape - ZDNet
8,"Thu, 21 Apr 2022 07:00:00 GMT","{'href': 'https://www.dhs.gov', 'title': 'Homeland Security'}",https://www.dhs.gov/news/2022/04/21/fact-sheet-dhs-international-cybersecurity-efforts,Fact Sheet: DHS International Cybersecurity Efforts - Homeland Security
9,"Fri, 08 Apr 2022 07:00:00 GMT","{'href': 'https://securityboulevard.com', 'title': 'Security Boulevard'}",https://securityboulevard.com/2022/04/identifying-a-cyber-security-platform-that-will-maximize-your-investment-for-years-to-come/,Identifying a Cyber Security Platform that will maximize your investment for years to come. - Security Boulevard
10,"Thu, 07 Apr 2022 07:00:00 GMT","{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}",https://seekingalpha.com/article/4500216-russia-ukraine-conflict-cybersecurity,Russia-Ukraine Conflict: The Time For Cyber Security Is Now - Seeking Alpha
11,"Sat, 30 Apr 2022 06:10:44 GMT","{'href': 'https://www.themobility.club', 'title': 'themobility.club'}",https://www.themobility.club/news/2022/04/30/network-and-web-security-market-size-trends-and-forecast-to-2029/,"Network And Web Security Market Size, Trends and Forecast to 2029 | Check Point Software Technologies Ltd., Cisco Systems Honeywell International Inc., IBM Corporation, McAfee Microsoft Corporation, Palo Alto Networks Proofpoint Symantec Corporation, - themobility.club"
12,"Thu, 28 Apr 2022 09:31:27 GMT","{'href': 'https://www.courier-journal.com', 'title': 'Courier Journal'}",https://www.courier-journal.com/story/news/crime/2022/04/28/ransomware-attack-becker-law-office-said-pay-or-files-released/9538798002/,"Cyber thieves ransom Louisville law firm, vowing to publish stolen files if not paid - Courier Journal"
13,"Mon, 25 Apr 2022 18:24:18 GMT","{'href': 'https://securityboulevard.com', 'title': 'Security Boulevard'}",https://securityboulevard.com/2022/04/how-to-protect-against-the-weakest-link-in-cybersecurity-the-users/,How to protect against the weakest link in cybersecurity – THE USERS - Security Boulevard
14,"Fri, 29 Apr 2022 13:15:00 GMT","{'href': 'https://www.securitymagazine.com', 'title': 'Security Magazine'}",https://www.securitymagazine.com/articles/97518-the-20-most-common-passwords-leaked-on-the-dark-web,The 20 most common passwords leaked on the dark web - Security Magazine
15,"Sun, 01 May 2022 05:06:40 GMT","{'href': 'https://www.geektime.com', 'title': 'Geektime'}",https://www.geektime.com/yo-yo-ddos-cyber-attacks-what-they-are-and-how-you-can-beat-them/,‘Yo-Yo’ DDoS Cyber Attacks; What they Are and How You Can Beat Them - Geektime
16,"Thu, 28 Apr 2022 08:05:23 GMT","{'href': 'https://www.ghanaweb.com', 'title': 'GhanaWeb'}",https://www.ghanaweb.com/GhanaHomePage/business/CSA-NITA-collaborate-in-implementation-of-Cyber-Security-Act-1525751,"CSA, NITA collaborate in implementation of Cyber Security Act - GhanaWeb"
17,"Tue, 26 Apr 2022 16:37:13 GMT","{'href': 'https://www.securityweek.com', 'title': 'SecurityWeek'}",https://www.securityweek.com/web-application-security-firm-source-defense-raises-27-million,Web Application Security Firm Source Defense Raises $27 Million - SecurityWeek
18,"Sat, 30 Apr 2022 14:06:06 GMT","{'href': 'https://www.myjoyonline.com', 'title': 'Myjoyonline'}",https://www.myjoyonline.com/mtn-ghana-partners-mobile-web-ghana-to-empower-young-girls-on-cyber-security/,MTN Ghana partners Mobile Web Ghana to empower young girls on cyber security - Myjoyonline
19,"Wed, 13 Apr 2022 07:00:00 GMT","{'href': 'https://securityboulevard.com', 'title': 'Security Boulevard'}",https://securityboulevard.com/2022/04/growing-attacks-underscore-the-importance-of-api-security/,Growing Attacks Underscore the Importance of API Security - Security Boulevard
20,"Wed, 06 Apr 2022 07:00:00 GMT","{'href': 'https://www.forbes.com', 'title': 'Forbes'}",https://www.forbes.com/sites/daveywinder/2022/04/06/google-suddenly-issues-new-emergency-update-for-32-billion-chrome-users/,Google Chrome Users Urged To Update As Another Urgent Security Fix Is Released - Forbes
21,"Wed, 27 Apr 2022 18:08:42 GMT","{'href': 'https://www.hstoday.us', 'title': 'HSToday'}",https://www.hstoday.us/featured/log4shell-ranked-top-exploited-vulnerability-of-2021-by-agencies/,Log4Shell Ranked Top Exploited Vulnerability of 2021 by Agencies - HS Today - HSToday
22,"Thu, 28 Apr 2022 16:14:55 GMT","{'href': 'https://www.standard.co.uk', 'title': 'Evening Standard'}",https://www.standard.co.uk/tech/google-chrome-hack-how-to-update-web-browser-after-security-issue-b996834.html,Google Chrome Hack: How to update web browser after security issue - Evening Standard
